AACPS1
AACPS2
AACPS3
AACPS4
AACPS5
AACPS6
AACPS7
AACPS8
AACPS9
ADOCBLtonex
CBItonex
CBL1tonex
CPGNtonex
CPMPS
CRNDabcpp
CRNabcpp
CTBTabcpp
DSBAO1
DSBAO2
FE3DCITabcpp
FE3DCITtonex
FE3HOXtonex
FECRMtonex
FEENTERtonex
FEOXAMtonex
FRUptspp
GTHRDabcpp
MNLptspp
NO3R2bpp
NTRIR2x
PHEMEabcpp
PIuabcpp
PROabcpp
SELtpp
SLNTtpp
SUCDi
TDSR1
TDSR2
TRPS1
TRPS2
TRPS3
TUNGSabcpp
XYLabcpp
Biomass
4HTHRS
A5PISO
ACACT2r
ACACT3r
ACACT4r
ACACT5r
ACACT7r
ACALD
ACCOAC
ACGS
ACHBS
ACLS
ACONTa
ACONTb
ACOTA
ACS
ADCS
ADSL1r
ADSS
AGMT
AKGDH
ALAALAr
ALAR
ALATA_L
ALCD2x
ALDD2x
ALDD2y
ALLTN
ALTRH
AMAOTr
AMPTASECG
ANPRT
AP4AH
APRAUR
ASAD
ASP1DC
ASPCT
ASPK
ASPO6
ASPTA
AST
BPNT
CBPS
CHORM
CHORS
CPPPGO
CPPPGO2
CS
CTPS2
CYSS
CYTDK2
CYTK1
CYTK2
DAPDC
DAPE
DB4PS
DBTS
DDGLK
DDPA
DGK1
DHACOAH
DHAD1
DHAD2
DHFS
DHORTS
DHPPDA2
DHPS2
DHQS
DMATT
DRPA
DTMPK
DURIK1
DURIPP
DXPRIi
DXPS
ECOAH1
ECOAH2
ECOAH3
ECOAH4
ECOAH6
ECOAH7
EDA
ENO
FBA3
FBP
FCLT
FMNAT
G6PDA
G6PDH2r
GALKr
GALUi
GGPTRCS
GHMT2r
GK1
GLNS
GLU5K
GLUCYS
GLUN
GLUPRT
GLUSy
GLYCLTDx
GMPR
GND
GRTT
GTHS
GTPCII2
GTPDPK
GUAD
HACD1
HACD2
HACD3
HACD5
HISTD
HISTP
HMBS
HSDy
IG3PS
IGPDH
IGPS
IMPC
KARA1
KDOCT2
KDOPP
KDOPS
LACZ
LGTHL
MALS
MCITD
MCITS
MECDPS
METAT
METS
MOAT2
MOHMT
MTHFC
MTHFD
MTHFR2
NDPK1
NDPK2
NDPK3
NDPK4
NDPK5
NDPK6
NDPK7
NDPK8
NNDPR
NTD1
NTD3
NTD5
NTD6
NTD8
NTP1
NTPP1
NTPP11
NTPP2
NTPP4
NTPP6
NTPP7
NTPP8
NTPP9
OAADC
OBTFL
OCTDPS
OHPHM
OPHBDC
OPHHX
ORPT
P5CD
P5CR
PANTS
PDH
PDX5POi
PERD
PFK
PFK_2
PFL
PGAMT
PGCD
PGK
PGM
PHETA1
PPBNGS
PPGPPDP
PPM
PPM2
PPNDH
PRAGSr
PRAIi
PRASCSi
PSCVT
PSP_L
PTA2
PTAr
PTPATi
PUNP1
PUNP2
PUNP3
PUNP4
PUNP5
PUNP6
PYK
R15BPK
RBFK
RBFSb
RPE
RPI
SADH
SDPDS
SDPTA
SERAT
SERD_L
SGDS
SHCHF
SHSL1
SSALy
SUCOAS
TDSK
THRA2i
THRAi
THRD_L
THRS
TKT2
TMDK1
TMDPP
TMPK
TRSARr
TYRTA
UAAGDS
UAGCVT
UAGPT3
UAMAGS
UAMAS
UDPG4E
UGLT
UGMDDS
UHGADA
UMPK
UPP3MT
UPPDC1
UPPRT
URIK2
USHD
