id	genes
R10115	(k249_578838_30) or (k249_686474_4) or (k249_1602140_7)
R10119	(k249_578838_30) or (k249_686474_4) or (k249_1602140_7)
R01626	k249_578838_33
R11671	k249_578838_33
R00851	(k249_578838_34) or (k249_822466_14)
R09380	(k249_578838_34) or (k249_822466_14)
R00135	k249_594999_19
R07412	k249_594999_22
R00081	(k249_594999_26) or (k249_594999_28) or (k249_594999_29)
R10806	(k249_608065_25) or (k249_739799_3) or (k249_1434416_5)
R10757	k249_632589_12
R04386	(k249_648967_4) or (k249_1399648_16)
R01625	k249_657971_10
R02000	(k249_680133_7) or (k249_680133_8) or (k249_2667867_1)
R01262	k249_681376_6
R01687	k249_681376_6
R03867	k249_681376_6
R03916	k249_681376_6
R04935	k249_681376_6
R02964	(k249_686474_1) or (k249_2841686_1)
R03643	(k249_686474_1) or (k249_2841686_1)
R10707	k249_686474_4
R01800	k249_693436_11
R04710	(k249_696185_8) or (k249_1210463_2)
R02320	(k249_696185_11) or (k249_1486087_3)
R04125	k249_696185_13
R03425	k249_696185_15
R03650	(k249_702968_3) or (k249_2725021_6) or (k249_3722152_6)
R07460	(k249_702968_9) or (k249_702968_10) or (k249_1374192_1)
R11529	(k249_702968_9) or (k249_702968_10) or (k249_1374192_1)
R04109	k249_739799_1
R07766	k249_779311_11
R07769	k249_779311_11
R10152	(k249_796906_2) or (k249_800257_15)
R03232	(k249_798161_15) or (k249_945323_44) or (k249_945323_45) or (k249_945323_46)
R10645	k249_798161_28
R10646	k249_798161_28
R10647	k249_798161_28
R04951	(k249_800257_4) or (k249_1215375_2) or (k249_1448588_14)
R02289	k249_800257_12
R03661	(k249_800257_21) or (k249_800257_22)
R09395	(k249_818306_7) or (k249_818306_8)
R01253	(k249_851878_2) or (k249_1016403_1)
R11260	(k249_916283_1) or (k249_1146035_1)
R01122	k249_943897_2
R03655	(k249_943897_8) or (k249_1779665_3)
R05145	(k249_945323_1) or (k249_945323_2)
R02110	(k249_945323_17) or (k249_1049152_8)
R09995	(k249_945323_18) or (k249_1049152_8)
R11261	k249_945323_18
R02704	(k249_945323_44) or (k249_945323_45)
R03662	k249_955711_2
R08218	k249_955711_2
R03813	k249_955711_7
R11443	k249_955711_7
R11444	k249_955711_7
R11547	k249_955711_8
R11548	k249_955711_8
R04429	k249_955711_15
R04724	k249_955711_15
R04955	k249_955711_15
R04958	k249_955711_15
R04961	k249_955711_15
R04966	k249_955711_15
R04969	k249_955711_15
R08700	k249_955711_17
R03659	k249_994159_17
R04773	k249_994159_17
R01078	(k249_1031794_4) or (k249_1031794_5)
R10124	k249_1031794_5
R09725	k249_1031794_6
R09543	k249_1031794_7
R02570	(k249_1041617_5) or (k249_2416230_4)
R02571	(k249_1041617_5) or (k249_2416230_4)
R01940	k249_1041617_6
R03316	k249_1041617_6
R01824	k249_1049152_8
R05196	k249_1049152_8
R08768	(k249_1049345_2) or (k249_1049345_3) or (k249_1655986_1) or (k249_1655986_2) or (k249_3403947_1)
R11945	k249_1108451_3
R02918	k249_1146035_10
R02016	k249_1223403_3
R03654	(k249_1292323_3) or (k249_1292323_4)
R07210	k249_1320887_5
R04019	k249_1343907_7
R04470	k249_1343907_7
R04567	k249_1399648_20
R07764	k249_1399648_21
R10117	k249_1399648_21
R10121	k249_1399648_21
R04550	k249_1399648_22
R01799	k249_1399648_27
R00021	(k249_1426829_4) or (k249_1822632_22) or (k249_1980508_1)
R10086	(k249_1426829_4) or (k249_1822632_22) or (k249_1980508_1)
R07639	k249_1448588_1
R10776	k249_1448588_7
R03665	k249_1448588_11
R02240	k249_1448588_18
R00361	k249_1459546_6
R01699	(k249_1486087_2) or (k249_2416230_6)
R03270	(k249_1486087_2) or (k249_2416230_6)
R01105	k249_1504340_4
R03355	k249_1504340_4
R03664	k249_1559805_8
R03522	k249_1577325_5
R11905	k249_1577325_5
R02108	k249_1675960_2
R02112	k249_1675960_2
R11262	k249_1675960_2
R11307	(k249_1729530_1) or (k249_1795047_6) or (k249_2630618_2)
R11308	(k249_1729530_1) or (k249_1795047_6) or (k249_2630618_2)
R03940	k249_1732906_3
R08689	k249_1779665_4
R10859	k249_1779665_4
R00437	k249_1822632_12
R00438	k249_1822632_12
R00439	k249_1822632_12
R00440	k249_1822632_12
R01623	k249_1980508_3
R02025	k249_1980508_10
R00282	k249_2083342_5
R05577	(k249_2147958_11) or (k249_3328914_3)
R03660	(k249_2288718_1) or (k249_3551563_1) or (k249_3551563_2)
R03652	k249_2428595_2
R03646	k249_2594349_1
R11188	k249_2771598_4
R00601	k249_2771598_8
R03789	k249_2771598_8
R08702	k249_2771598_8
