id	genes
R11581	(k249_818306_8) or (k249_818306_11)
R11372	k249_818306_9
R09726	k249_818306_10
R00966	k249_822466_5
R02734	k249_822466_19
R07501	k249_837276_5
R10709	k249_837276_5
R10710	k249_837276_5
R07405	k249_847715_2
R08871	k249_847715_12
R08938	k249_847715_12
R00425	(k249_847715_24) or (k249_1155537_6)
R00245	(k249_851878_2) or (k249_1016403_1)
R00707	(k249_851878_2) or (k249_1016403_1)
R00708	(k249_851878_2) or (k249_1016403_1)
R01492	k249_851878_2
R04444	(k249_851878_2) or (k249_1016403_1)
R04445	(k249_851878_2) or (k249_1016403_1)
R05051	(k249_851878_2) or (k249_1016403_1)
R05220	k249_851878_2
R07268	k249_851878_2
R00428	(k249_888932_6) or (k249_2970280_5)
R04639	(k249_888932_6) or (k249_2970280_5)
R05046	(k249_888932_6) or (k249_2970280_5)
R05048	(k249_888932_6) or (k249_2970280_5)
R02539	k249_904436_1
R02773	k249_904436_6
R01016	k249_910917_6
R00848	k249_923794_5
R01074	(k249_945323_1) or (k249_945323_2)
R01054	(k249_945323_16) or (k249_2893409_10)
R01357	k249_945323_22
R01976	k249_945323_32
R05576	k249_945323_32
R09401	k249_945323_39
R10677	k249_945323_39
R10678	k249_945323_39
R02071	k249_945323_42
R03234	k249_945323_43
R00267	(k249_955711_13) or (k249_2725021_5)
R00268	(k249_955711_13) or (k249_2725021_5)
R01899	(k249_955711_13) or (k249_2725021_5)
R01171	k249_955711_15
R01083	(k249_955711_18) or (k249_955711_19) or (k249_1594781_9)
R04559	(k249_955711_18) or (k249_955711_19) or (k249_1594781_9)
R00405	(k249_955711_28) or (k249_955711_29) or (k249_1041617_2) or (k249_1041617_3)
R02404	(k249_955711_28) or (k249_955711_29) or (k249_1041617_2) or (k249_1041617_3)
R00776	k249_981189_2
R02422	(k249_981189_3) or (k249_2616098_3)
R06977	(k249_994159_6) or (k249_2998397_5) or (k249_3244152_3)
R04805	(k249_1015053_1) or (k249_1031794_1) or (k249_1771190_3)
R03210	k249_1031794_5
R03182	k249_1031794_8
R00256	(k249_1031794_12) or (k249_1031794_13)
R00575	(k249_1031794_12) or (k249_1031794_13)
R01395	(k249_1031794_12) or (k249_1031794_13)
R10948	(k249_1031794_12) or (k249_1031794_13)
R10949	(k249_1031794_12) or (k249_1031794_13)
R01856	k249_1031794_18
R00621	k249_1041617_6
R01933	k249_1041617_6
R00351	(k249_1041617_11) or (k249_2592755_1) or (k249_2592755_2)
R07605	k249_1049152_3
R00470	k249_1049152_9
R05605	k249_1049152_9
R04987	(k249_1049345_2) or (k249_1049345_3) or (k249_1655986_1) or (k249_1655986_2) or (k249_3403947_1)
R01768	k249_1057885_2
R02103	k249_1057885_2
R00713	(k249_1107854_1) or (k249_2416230_3)
R00714	(k249_1107854_1) or (k249_2416230_3)
R02401	(k249_1107854_1) or (k249_2416230_3)
R11013	(k249_1107854_3) or (k249_1793774_1)
R01993	k249_1115072_2
R08503	(k249_1131129_3) or (k249_1131129_16)
R05661	(k249_1131129_4) or (k249_2462080_1)
R08603	k249_1131129_5
R02782	(k249_1131129_7) or (k249_1151772_5) or (k249_2462080_2) or (k249_3414087_1)
R05659	(k249_1131129_7) or (k249_1151772_5) or (k249_2462080_2) or (k249_3414087_1)
R01183	(k249_1131129_10) or (k249_2221309_8) or (k249_2668756_1)
R09951	(k249_1131129_10) or (k249_2221309_8) or (k249_2668756_1)
R06894	k249_1131784_12
R03409	(k249_1131784_21) or (k249_1426829_5) or (k249_2893409_12)
R02272	k249_1146035_2
R01978	k249_1151432_4
R09282	k249_1151432_6
R00590	(k249_1155537_1) or (k249_1455622_13)
R03458	k249_1155537_5
R03459	k249_1155537_5
R07281	k249_1155537_6
R04457	k249_1155537_7
R03596	k249_1223403_3
R09372	k249_1223403_3
R06529	k249_1223403_4
R07302	k249_1223403_4
R03348	(k249_1223403_6) or (k249_1355756_1)
R01776	(k249_1279592_2) or (k249_1279592_3)
R00277	k249_1292323_6
R00278	k249_1292323_6
R01710	k249_1292323_6
R01711	k249_1292323_6
R03595	k249_1292323_8
R00215	k249_1318088_3
R01751	k249_1318088_3
R02545	k249_1318088_3
R06180	k249_1318088_3
R01920	k249_1320887_3
R02869	k249_1320887_3
R08359	k249_1320887_3
R10206	k249_1320887_5
R01280	(k249_1343907_1) or (k249_2877741_3)
R01663	k249_1343907_4
R01101	k249_1343907_7
R01103	k249_1343907_7
R01104	k249_1343907_7
R01194	k249_1343907_7
R01329	k249_1343907_7
R02926	k249_1343907_7
R03634	k249_1343907_7
R05549	k249_1343907_7
R05961	k249_1343907_7
R06091	k249_1343907_7
R09954	k249_1343907_9
R00491	k249_1374192_3
R11180	k249_1374192_4
R05633	(k249_1399648_9) or (k249_1399648_10)
R01525	k249_1399648_10
R02921	k249_1399648_10
R00658	k249_1399648_12
R00571	k249_1399648_13
R00573	k249_1399648_13
R01069	k249_1399648_15
R04606	k249_1399648_19
R05688	k249_1399648_26
R06447	k249_1399648_28
R02283	(k249_1399648_34) or (k249_2525945_9)
R04475	(k249_1399648_34) or (k249_2525945_9)
R04365	k249_1399648_36
R04173	k249_1399648_40
R05085	k249_1399648_40
R00093	(k249_1426829_3) or (k249_1426829_4) or (k249_1822632_22) or (k249_1980508_1) or (k249_1980508_2)
R00114	(k249_1426829_3) or (k249_1426829_4) or (k249_1822632_22) or (k249_1980508_1) or (k249_1980508_2)
R00248	(k249_1426829_3) or (k249_1426829_4) or (k249_1822632_22) or (k249_1980508_1) or (k249_1980508_2)
R05681	k249_1434416_1
R05837	k249_1434416_1
R07406	k249_1434416_1
R03231	k249_1448588_10
R03893	(k249_1455622_3) or (k249_1559805_5)
R05510	(k249_1455622_3) or (k249_1559805_5)
R05511	(k249_1455622_3) or (k249_1559805_5)
R06835	(k249_1455622_3) or (k249_1559805_5)
R06838	(k249_1455622_3) or (k249_1559805_5)
R08120	(k249_1455622_3) or (k249_1559805_5)
R08121	(k249_1455622_3) or (k249_1559805_5)
R09136	(k249_1455622_3) or (k249_1559805_5)
R09220	(k249_1455622_3) or (k249_1559805_5)
R09222	(k249_1455622_3) or (k249_1559805_5)
R01529	k249_1455622_4
R01445	k249_1455622_11
R02740	(k249_1455622_11) or (k249_1486087_6) or (k249_2970280_9)
R03321	(k249_1455622_11) or (k249_1486087_6) or (k249_2970280_9)
R10810	k249_1455622_11
R00760	k249_1455622_12
R00867	k249_1455622_12
R03920	k249_1455622_12
R00360	k249_1459546_6
R01257	k249_1459546_6
R00401	k249_1459546_7
R00835	k249_1486087_5
R02736	k249_1486087_5
R10907	k249_1486087_5
R02035	(k249_1486087_6) or (k249_2970280_2)
R01678	k249_1504340_4
R04783	k249_1504340_4
R06114	k249_1504340_4
R03220	k249_1513927_2
R00126	(k249_1513927_6) or (k249_2475847_2)
R01618	(k249_1513927_6) or (k249_2475847_2)
R01213	k249_1513927_10
R01152	k249_1577325_2
R07002	k249_1577325_5
R07003	k249_1577325_5
R07004	k249_1577325_5
R07023	k249_1577325_5
R07024	k249_1577325_5
R07025	k249_1577325_5
R07026	k249_1577325_5
R07069	k249_1577325_5
R07070	k249_1577325_5
R07083	k249_1577325_5
R07084	k249_1577325_5
R07091	k249_1577325_5
R07092	k249_1577325_5
R07093	k249_1577325_5
R07094	k249_1577325_5
R07100	k249_1577325_5
R07113	k249_1577325_5
R07116	k249_1577325_5
R08280	k249_1577325_5
R09409	k249_1577325_5
R04292	k249_1594781_6
R10147	k249_1594781_6
R04209	k249_1594781_9
R00112	(k249_1611829_6) or (k249_1611829_7) or (k249_1896523_1) or (k249_2990902_12)
R01602	k249_1645266_3
R10619	k249_1645266_3
R06200	(k249_1729530_1) or (k249_1795047_6) or (k249_2630618_2)
R01745	k249_1746777_10
R01747	k249_1746777_10
R04210	k249_1746777_12
R00258	k249_1746777_13
R01215	k249_1746777_13
R01398	k249_1746777_16
R01298	k249_1753404_7
R02528	(k249_1771190_1) or (k249_2987963_3)
R03544	(k249_1771190_1) or (k249_2987963_3)
R03545	(k249_1771190_1) or (k249_2987963_3)
R00847	k249_1793774_12
R01514	(k249_1814917_5) or (k249_1814917_6)
R05790	(k249_1814917_5) or (k249_1814917_6)
R03066	(k249_1822632_2) or (k249_2970280_5)
R03067	(k249_1822632_2) or (k249_2970280_5)
R02060	k249_1822632_3
R02412	(k249_1822632_19) or (k249_1822632_20)
R03083	(k249_1822632_19) or (k249_1822632_20)
R11105	k249_1896523_4
R00987	k249_1896523_5
R02668	k249_1896523_5
R03936	k249_1896523_5
R03197	k249_1980508_4
R04972	k249_1980508_4
R00084	(k249_1980508_6) or (k249_1980508_7)
R01086	k249_1980508_16
R00317	k249_2147958_9
R01421	k249_2147958_9
R01515	k249_2147958_9
R09978	k249_2147958_22
R05287	k249_2258047_2
R01586	k249_2405301_4
R00936	k249_2428595_4
R00937	k249_2428595_4
R00939	k249_2428595_4
R00940	k249_2428595_4
R02235	k249_2428595_4
R02236	k249_2428595_4
R11765	k249_2428595_4
R00488	k249_2428595_5
R00526	k249_2428595_5
R02735	k249_2428595_7
R00451	k249_2428595_8
R08572	k249_2433752_2
R00705	k249_2462080_4
R00706	k249_2462080_4
R00922	k249_2462080_4
R00935	k249_2462080_4
R04189	(k249_2525945_4) or (k249_2525945_5)
R05049	(k249_2525945_6) or (k249_2525945_7)
R00832	(k249_2525945_7) or (k249_2525945_8)
R04217	k249_2525945_9
R01030	(k249_2525945_13) or (k249_2630618_1)
R01470	(k249_2525945_13) or (k249_2630618_1)
R00228	k249_2525945_18
R01172	k249_2525945_18
R03177	k249_2550746_4
R07417	k249_2550746_4
R07418	k249_2550746_4
R00907	k249_2550746_5
R04187	k249_2550746_5
R07415	(k249_2550746_6) or (k249_2550746_15)
R01157	k249_2550746_8
R08714	k249_2550746_9
R07414	k249_2550746_11
R03470	k249_2550746_14
R00700	k249_2550746_19
R10146	k249_2550746_22
R00931	(k249_2592755_1) or (k249_2592755_2)
R04424	k249_2592755_3
R00214	k249_2594349_4
R00216	k249_2594349_4
R06601	k249_2616098_2
R06604	k249_2616098_3
R02425	k249_2616098_4
R00177	k249_2668756_3
R04771	k249_2668756_3
R10463	k249_2771598_3
R10666	k249_2771598_8
R02952	k249_2806495_3
R03367	k249_2806495_3
R11225	k249_2806495_3
R09668	k249_2841686_13
R00191	k249_2893409_8
R02291	k249_2950005_4
R02059	k249_2970280_1
R00765	k249_2970280_2
R10348	k249_2970280_5
R01226	k249_2970280_6
R00489	k249_2970280_8
R06979	k249_2998397_4
R06978	k249_2998397_6
R00332	k249_2998397_8
R02090	k249_2998397_8
R00479	k249_3152777_4
R01795	k249_3244152_1
R07211	k249_3244152_1
R01887	k249_3328914_12
R03093	k249_3328914_12
R03542	k249_3328914_12
R05591	k249_3328914_12
R07855	k249_3328914_12
R00289	k249_3328914_17
R00087	k249_3722152_2
R00287	k249_3722152_2
R00515	k249_3722152_2
R00662	k249_3722152_2
R03036	k249_3722152_2
R11323	k249_3722152_2
R00036	k249_3836202_4
