id	genes
R00734	(k249_150865_7) or (k249_545032_2) or (k249_798161_2) or (k249_1115072_4)
R00896	(k249_150865_7) or (k249_1115072_4)
R01731	(k249_150865_7) or (k249_1115072_4)
R02433	(k249_150865_7) or (k249_1115072_4)
R02619	(k249_150865_7) or (k249_1115072_4)
R05052	(k249_150865_7) or (k249_1115072_4)
R07396	(k249_150865_7) or (k249_1115072_4)
R10845	(k249_150865_7) or (k249_1115072_4)
R02301	k249_153269_10
R01736	(k249_153269_16) or (k249_425222_29) or (k249_1122453_3)
R01826	(k249_154338_15) or (k249_822466_23)
R00509	(k249_154338_19) or (k249_888932_5)
R04928	(k249_154338_19) or (k249_888932_5)
R00985	(k249_154338_21) or (k249_241809_16) or (k249_241809_17) or (k249_241809_19) or (k249_241809_20)
R00986	(k249_154338_21) or (k249_241809_16) or (k249_241809_17) or (k249_241809_19) or (k249_241809_20)
R05553	(k249_154338_21) or (k249_578838_29)
R00787	(k249_154338_30) or (k249_445190_1) or (k249_445190_2) or (k249_680133_8) or (k249_2667867_1)
R00858	(k249_154338_30) or (k249_2550746_22) or (k249_2990902_10)
R00243	k249_154338_33
R01869	k249_154338_35
R04549	k249_154338_42
R01220	k249_154338_44
R01655	k249_154338_44
R04478	k249_162470_2
R01632	(k249_162470_3) or (k249_162470_4) or (k249_242111_8) or (k249_242111_9) or (k249_632589_7)
R03550	(k249_162470_3) or (k249_162470_4) or (k249_242111_8) or (k249_242111_9) or (k249_632589_7)
R04280	(k249_162470_3) or (k249_162470_4) or (k249_242111_8) or (k249_242111_9) or (k249_632589_7)
R09565	(k249_162470_3) or (k249_162470_4) or (k249_242111_8) or (k249_242111_9) or (k249_632589_7)
R03443	(k249_165867_4) or (k249_1230243_3)
R01224	k249_165867_5
R07168	k249_165867_5
R00357	(k249_166261_9) or (k249_657971_1)
R00481	(k249_166261_9) or (k249_657971_1)
R00782	(k249_167816_12) or (k249_425422_2)
R00999	(k249_167816_12) or (k249_531167_20)
R01286	(k249_167816_12) or (k249_425422_2)
R01288	(k249_167816_12) or (k249_531167_20)
R02408	(k249_167816_12) or (k249_425422_2)
R02508	(k249_167816_12) or (k249_531167_20)
R03217	(k249_167816_12) or (k249_531167_20)
R03260	(k249_167816_12) or (k249_531167_20)
R04941	(k249_167816_12) or (k249_425422_2)
R04944	(k249_167816_12) or (k249_531167_20)
R04945	(k249_167816_12) or (k249_531167_20)
R04946	(k249_167816_12) or (k249_531167_20)
R00026	k249_167947_1
R02558	k249_167947_1
R02985	k249_167947_1
R04998	k249_167947_1
R10035	k249_167947_1
R10039	k249_167947_1
R10040	k249_167947_1
R00426	(k249_167947_4) or (k249_405843_5) or (k249_2998397_1) or (k249_3722152_2)
R00720	(k249_167947_4) or (k249_405843_5) or (k249_2998397_1) or (k249_3722152_2)
R01855	(k249_167947_4) or (k249_405843_5) or (k249_2998397_1) or (k249_3722152_2)
R02100	(k249_167947_4) or (k249_405843_5) or (k249_2998397_1) or (k249_3722152_2)
R02720	(k249_167947_4) or (k249_405843_5) or (k249_2998397_1) or (k249_3722152_2)
R03531	(k249_167947_4) or (k249_405843_5) or (k249_2998397_1) or (k249_3722152_2)
R00997	k249_182020_3
R01874	k249_182020_3
R00103	(k249_182020_7) or (k249_3722152_2)
R03004	(k249_182020_7) or (k249_3722152_2)
R11104	k249_182020_7
R00086	(k249_182020_14) or (k249_2147958_1) or (k249_2415196_1) or (k249_3722152_2)
R01513	(k249_188005_1) or (k249_767246_5) or (k249_1015053_13) or (k249_1399648_41) or (k249_1468926_7) or (k249_3359821_5)
R01245	k249_188005_8
R01273	k249_188005_8
R01677	k249_188005_8
R01770	k249_188005_8
R02143	k249_188005_8
R01305	k249_188005_10
R02530	(k249_188005_12) or (k249_800257_20)
R00127	(k249_188005_14) or (k249_241809_1)
R01135	(k249_188005_14) or (k249_241809_1) or (k249_943897_9) or (k249_2860273_2)
